scope_item_id,assessment_id,N2O,CO2,CH4,Other,total
1.0,175,1681.0,145300.0,284.0,0.0,147265.0
1.0,175,0.0,141392.0,261.0,0.0,141653.0
1.0,176,243.0,20898.0,41.0,0.0,21182.0
1.0,176,0.0,24163.0,47.0,0.0,24210.0
1.0,179,307.0,26524.0,52.0,0.0,26883.0
1.0,179,0.0,36707.0,72.0,0.0,36779.0
1.0,180,28.0,2409.0,5.0,0.0,2442.0
1.0,180,0.0,2971.0,6.0,0.0,2977.0
1.0,181,31.0,2709.0,7.0,0.0,2747.0
1.0,182,153.0,13147.0,26.0,0.0,13326.0
1.0,182,0.0,16070.0,31.0,0.0,16101.0
1.0,187,0.0,8.0,0.0,0.0,8.0
1.0,188,0.0,5977.0,0.0,0.0,5977.0
1.0,188,0.0,6867.0,0.0,0.0,6867.0
1.0,190,0.0,50.0,0.0,0.0,50.0
1.0,190,0.0,308.0,0.0,0.0,308.0
1.0,191,0.0,2231.0,0.0,0.0,2231.0
1.0,191,0.0,3491.0,0.0,0.0,3491.0
1.0,192,0.0,248.0,0.0,0.0,248.0
1.0,193,39.0,3306.0,9.0,0.0,3354.0
1.0,193,0.0,3392.0,0.0,0.0,3392.0
1.0,194,0.0,555.0,0.0,0.0,555.0
1.0,195,0.0,0.0,0.0,0.0,0.0
1.0,195,0.0,0.0,0.0,0.0,0.0
1.0,196,1.0,66.0,0.0,0.0,67.0
1.0,196,0.0,102.0,0.0,0.0,102.0
1.0,202,0.0,657.0,0.0,0.0,657.0
1.0,202,0.0,948.0,0.0,0.0,948.0
1.0,203,0.0,624.0,0.0,0.0,624.0
1.0,204,0.0,0.0,0.0,0.0,0.0
1.0,204,0.0,0.0,0.0,0.0,
1.0,206,0.0,6482.0,0.0,0.0,6482.0
1.0,207,0.0,861.0,0.0,0.0,861.0
1.0,208,0.0,968.0,0.0,0.0,968.0
1.0,208,0.0,968.0,0.0,0.0,968.0
1.0,210,0.0,4899.0,0.0,0.0,4899.0
1.0,210,0.0,6036.0,0.0,0.0,6036.0
1.0,211,17.0,1465.0,4.0,0.0,1486.0
1.0,211,0.0,1808.0,5.0,0.0,1813.0
1.0,212,0.0,109.0,0.0,0.0,109.0
1.0,214,0.0,0.0,1425.0,0.0,1425.0
1.0,214,0.0,0.0,926.0,0.0,926.0
1.0,220,0.0,6.0,0.0,0.0,6.0
1.0,222,3.0,278.0,1.0,0.0,282.0
1.0,222,0.0,385.0,1.0,0.0,386.0
1.0,223,0.0,202.0,0.0,0.0,202.0
1.0,223,0.0,555.0,0.0,0.0,555.0
1.0,226,14.0,1151.0,3.0,0.0,1168.0
1.0,226,0.0,837.0,3.0,0.0,840.0
1.0,227,106.0,8893.0,24.0,0.0,9023.0
1.0,228,65.0,5493.0,14.0,0.0,5572.0
1.0,228,0.0,8688.0,24.0,0.0,8712.0
1.0,237,0.0,4180.0,0.0,0.0,4180.0
1.0,237,0.0,4412.0,0.0,0.0,4412.0
1.0,238,0.0,84.0,0.0,0.0,84.0
1.0,240,0.0,2321.0,0.0,0.0,2321.0
1.0,240,0.0,2468.0,0.0,0.0,2468.0
1.0,242,0.0,577.0,0.0,0.0,577.0
1.0,242,0.0,794.0,0.0,0.0,794.0
1.0,243,4.0,347.0,1.0,0.0,352.0
1.0,243,0.0,1098.0,3.0,0.0,1101.0
1.0,245,0.0,3714.0,0.0,0.0,3714.0
1.0,245,0.0,4250.0,0.0,0.0,4250.0
1.0,246,2317.0,200875.0,516.0,0.0,203708.0
1.0,247,0.0,51.0,0.0,0.0,51.0
1.0,247,0.0,63.0,0.0,0.0,63.0
1.0,250,2.0,194.0,1.0,0.0,197.0
1.0,250,0.0,267.0,1.0,0.0,268.0
1.0,256,1.0,63.0,2.0,0.0,66.0
1.0,256,0.0,119.0,2.0,0.0,121.0
1.0,257,0.0,43624.0,0.0,0.0,43624.0
1.0,257,0.0,50990.0,0.0,0.0,50990.0
1.0,258,0.0,505.0,0.0,0.0,505.0
1.0,263,0.0,907.0,0.0,0.0,907.0
1.0,263,0.0,1070.0,0.0,0.0,1070.0
1.0,264,68.0,4893.0,11.0,0.0,4972.0
1.0,264,0.0,7395.0,17.0,0.0,7412.0
1.0,265,0.0,18.0,0.0,18.0,36.0
1.0,267,0.0,41.0,0.0,0.0,41.0
1.0,268,0.0,5475.0,0.0,0.0,5475.0
1.0,269,0.0,4204.0,0.0,0.0,4204.0
1.0,269,0.0,5475.0,0.0,0.0,5475.0
1.0,270,3.0,246.0,1.0,0.0,250.0
1.0,271,0.0,0.0,0.0,0.0,0.0
1.0,272,0.0,21228.0,0.0,0.0,21228.0
1.0,273,0.0,3057.0,0.0,0.0,3057.0
1.0,273,0.0,4029.0,0.0,0.0,4029.0
1.0,275,0.0,0.0,0.0,0.0,0.0
1.0,275,0.0,0.0,0.0,0.0,
1.0,283,0.0,56.0,0.0,0.0,56.0
1.0,283,0.0,74.0,0.0,0.0,74.0
1.0,284,3.0,300.0,1.0,0.0,304.0
1.0,284,0.0,285.0,1.0,0.0,286.0
1.0,286,0.0,2644.0,0.0,0.0,2644.0
1.0,289,113.0,9668.0,38.0,0.0,9819.0
1.0,289,0.0,11439.0,29.0,0.0,11468.0
1.0,291,8.0,657.0,2.0,0.0,667.0
1.0,292,0.0,4772.0,0.0,0.0,4772.0
1.0,293,28.0,2335.0,6.0,0.0,2369.0
1.0,293,0.0,0.0,0.0,0.0,
1.0,294,0.0,148.0,0.0,0.0,148.0
1.0,295,0.0,20.0,0.0,0.0,20.0
1.0,295,0.0,74.0,1.0,0.0,75.0
1.0,297,0.0,166.0,0.0,0.0,166.0
1.0,304,2.0,126.0,0.0,0.0,128.0
1.0,306,0.0,21.0,0.0,0.0,21.0
1.0,307,0.0,54.0,0.0,0.0,54.0
1.0,307,0.0,54.0,0.0,0.0,54.0
1.0,312,3.0,265.0,1.0,0.0,269.0
1.0,324,0.0,1.0,0.0,0.0,1.0
1.0,328,24.0,2029.0,5.0,0.0,2058.0
1.0,328,0.0,2234.0,0.0,0.0,2234.0
1.0,331,0.0,104.0,0.0,0.0,104.0
1.0,334,30.0,2885.0,6.0,0.0,2921.0
1.0,334,0.0,3433.0,8.0,0.0,3441.0
